species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
tidy tips,Layia platyglossa,tidy tips,Plantae,50876
Menzies' baby blue eyes,Nemophila menziesii,Menzies' baby blue eyes,Plantae,50648
Douglas iris,Iris douglasiana,Douglas iris,Plantae,50854
coastal bush lupine,Lupinus arboreus,coastal bush lupine,Plantae,61010
Spitz-Wegerich,Plantago lanceolata,ribwort plantain,Plantae,53178
Iris foetidissima,Iris foetidissima,Stinking iris,Plantae,64331
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
beaked hazelnut,Corylus cornuta,beaked hazelnut,Plantae,53374
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
orange bush monkeyflower,Diplacus aurantiacus,orange bush monkeyflower,Plantae,777371
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
catchweed bedstraw,Galium aparine,catchweed bedstraw,Plantae,53059
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Baldhip Rose,Rosa gymnocarpa,Baldhip Rose,Plantae,53441
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
False Hawkbit,Urospermum picroides,False Hawkbit,Plantae,59361
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
White Globe Lily,Calochortus albus,White Globe Lily,Plantae,51315
Coyote Mint,Monardella villosa,Coyote Mint,Plantae,52181
scarlet pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Redstem Stork's-bill,Erodium cicutarium,Redstem Stork's-bill,Plantae,47687
harvest brodiaea,Brodiaea elegans,harvest brodiaea,Plantae,51752
white ramping-fumitory,Fumaria capreolata,white ramping-fumitory,Plantae,57852
giant chain fern,Woodwardia fimbriata,giant chain fern,Plantae,52685
Tolmie's  pussy ears,Calochortus tolmiei,Tolmie's pussy ears,Plantae,50840
Yellow Mariposa Lily,Calochortus luteus,Yellow Mariposa Lily,Plantae,51077
harvest brodiaea,Brodiaea elegans,harvest brodiaea,Plantae,51752
harvest brodiaea,Brodiaea elegans,harvest brodiaea,Plantae,51752
"",Umbellularia californica,California bay,Plantae,48807
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
bigleaf maple,Acer macrophyllum,bigleaf maple,Plantae,48227
Western Star Flower,Lysimachia latifolia,Western Starflower,Plantae,496537
harvest brodiaea,Brodiaea elegans,harvest brodiaea,Plantae,51752
California buckeye,Aesculus californica,California buckeye,Plantae,53348
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
Indian fig opuntia,Opuntia ficus-indica,Indian fig opuntia,Plantae,64119
carpet bugle,Ajuga reptans,carpet bugle,Plantae,56099
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
moth mullein,Verbascum blattaria,moth mullein,Plantae,59028
dragon arum,Dracunculus vulgaris,dragon arum,Plantae,82461
California Wild Rose,Rosa californica,California Wild Rose,Plantae,53437
eggleaf spurge,Euphorbia oblongata,eggleaf spurge,Plantae,77117
wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597
Yellow Mariposa Lily,Calochortus luteus,Yellow Mariposa Lily,Plantae,51077
Yellow Mariposa Lily,Calochortus luteus,Yellow Mariposa Lily,Plantae,51077
wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597
California milkwort,Rhinotropis californica,California milkwort,Plantae,876453
California mugwort,Artemisia douglasiana,California mugwort,Plantae,52854
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
bull thistle,Cirsium vulgare,Bull Thistle,Plantae,52989
California mugwort,Artemisia douglasiana,California mugwort,Plantae,52854
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
California mugwort,Artemisia douglasiana,California mugwort,Plantae,52854
White Globe Lily,Calochortus albus,White Globe Lily,Plantae,51315
common hedge parsley,Torilis arvensis,common hedge parsley,Plantae,56846
Broad-leafed Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
western blue-eyed grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
red baneberry,Actaea rubra,red baneberry,Plantae,49870
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Brittleleaf Manzanita,Arctostaphylos crustacea,Brittleleaf Manzanita,Plantae,75507
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
Sweet scabious,Sixalix atropurpurea,Sweet scabious,Plantae,372376
Sweet scabious,Sixalix atropurpurea,Sweet scabious,Plantae,372376
common selfheal,Prunella vulgaris,common selfheal,Plantae,52764
Rosilla,Helenium puberulum,Rosilla,Plantae,53092
Yorkshire fog,Holcus lanatus,Velvetgrass,Plantae,52793
Broad-leafed Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
California milkwort,Rhinotropis californica,California milkwort,Plantae,876453
California milkwort,Rhinotropis californica,California milkwort,Plantae,876453
California milkwort,Rhinotropis californica,California milkwort,Plantae,876453
California milkwort,Rhinotropis californica,California milkwort,Plantae,876453
California milkwort,Rhinotropis californica,California milkwort,Plantae,876453
broad-leaved sweet pea,Lathyrus latifolius,broad-leaved sweet pea,Plantae,61009
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
red baneberry,Actaea rubra,red baneberry,Plantae,49870
Cornflower,Centaurea cyanus,Cornflower,Plantae,933404
California mugwort,Artemisia douglasiana,California mugwort,Plantae,52854
Hairy brackenfern,Pteridium aquilinum pubescens,Hairy brackenfern,Plantae,52684
Pacific trillium,Trillium ovatum,Pacific trillium,Plantae,49463
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Shreve oak,Quercus parvula shrevei,Shreve oak,Plantae,81314
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Cardo común,Cirsium vulgare,Bull Thistle,Plantae,52989
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
beaked hazelnut,Corylus cornuta,beaked hazelnut,Plantae,53374
Brittleleaf Manzanita,Arctostaphylos crustacea,Brittleleaf Manzanita,Plantae,75507
tall flatsedge,Cyperus eragrostis,tall flatsedge,Plantae,59055
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
California buckeye,Aesculus californica,California buckeye,Plantae,53348
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Sweet scabious,Sixalix atropurpurea,Sweet scabious,Plantae,372376
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
Pacific Willow,Salix lasiandra,Pacific Willow,Plantae,78943
oxeye daisy,Leucanthemum vulgare,oxeye daisy,Plantae,56057
Sweet scabious,Sixalix atropurpurea,Sweet scabious,Plantae,372376
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
giant chain fern,Woodwardia fimbriata,giant chain fern,Plantae,52685
Belladonna Lily,Amaryllis belladonna,Belladonna Lily,Plantae,61827
California buckeye,Aesculus californica,California buckeye,Plantae,53348
common daisy,Bellis perennis,Lawn daisy,Plantae,55563
Broad-leafed Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
California buckeye,Aesculus californica,California buckeye,Plantae,53348
Western Star Flower,Lysimachia latifolia,Western Starflower,Plantae,496537
coast oak,Quercus parvula,coast oak,Plantae,78808
Brittleleaf Manzanita,Arctostaphylos crustacea,Brittleleaf Manzanita,Plantae,75507
Brittleleaf Manzanita,Arctostaphylos crustacea,Brittleleaf Manzanita,Plantae,75507
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
alkali heliotrope,Heliotropium curassavicum,alkali heliotrope,Plantae,58058
giant chain fern,Woodwardia fimbriata,giant chain fern,Plantae,52685
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
California bay,Umbellularia californica,California bay,Plantae,48807
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Nasturtium,Tropaeolum majus,garden nasturtium,Plantae,54329
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
mock strawberry,Potentilla indica,mock strawberry,Plantae,243824
mock strawberry,Potentilla indica,mock strawberry,Plantae,243824
Silver dollar gum,Eucalyptus cinerea,Argyle apple,Plantae,162748
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Indian fig opuntia,Opuntia ficus-indica,Indian fig opuntia,Plantae,64119
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
蕨,Pteridium aquilinum,common bracken,Plantae,52681
California Hedge Nettle,Stachys bullata,California Hedge Nettle,Plantae,58930
Pacific trillium,Trillium ovatum,Pacific trillium,Plantae,49463
California bay,Umbellularia californica,California bay,Plantae,48807
common selfheal,Prunella vulgaris,common selfheal,Plantae,52764
Ivy-leaved cyclamen,Cyclamen hederifolium,Ivy-leaved cyclamen,Plantae,127355
White Horehound,Marrubium vulgare,White Horehound,Plantae,54605
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
Baldhip Rose,Rosa gymnocarpa,Baldhip Rose,Plantae,53441
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
藍雪花,Plumbago auriculata,blue plumbago,Plantae,78631
Brittleleaf Manzanita,Arctostaphylos crustacea,Brittleleaf Manzanita,Plantae,75507
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
jimsonweed,Datura stramonium,jimsonweed,Plantae,55854
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Narrow-leaf Cotton Bush,Gomphocarpus fruticosus,Narrow-leaf Cotton Bush,Plantae,52351
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
California buckeye,Aesculus californica,California buckeye,Plantae,53348
California buckeye,Aesculus californica,California buckeye,Plantae,53348
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994
geraniums and cranesbills,Geranium,geraniums and cranesbills,Plantae,47701
California mugwort,Artemisia douglasiana,California mugwort,Plantae,52854
Yellow Mariposa Lily,Calochortus luteus,Yellow Mariposa Lily,Plantae,51077
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Argentinian biddy biddy,Acaena pinnatifida,Argentinian biddy biddy,Plantae,61230
Ирис Дугласа,Iris douglasiana,Douglas iris,Plantae,50854
California bay,Umbellularia californica,California bay,Plantae,48807
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Western Rattlesnake Plantain,Goodyera oblongifolia,Western Rattlesnake Plantain,Plantae,50719
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
mock strawberry,Potentilla indica,mock strawberry,Plantae,243824
wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
coastal woodfern,Dryopteris arguta,coastal woodfern,Plantae,52671
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
Western Rattlesnake Plantain,Goodyera oblongifolia,Western Rattlesnake Plantain,Plantae,50719
California sagebrush,Artemisia californica,California sagebrush,Plantae,53357
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Common Yarrow,Achillea millefolium,common yarrow,Plantae,52821
Common star lily,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
California Polypody,Polypodium californicum,California Polypody,Plantae,57216
wavy-leafed soap plant,Chlorogalum pomeridianum,wavy-leafed soap plant,Plantae,47597
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
mountain sweet cicely,Osmorhiza berteroi,mountain sweet cicely,Plantae,53166
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
wild and domestic radishes,Raphanus raphanistrum sativus,garden radish,Plantae,995125
silverleaf cotoneaster,Cotoneaster pannosus,silverleaf cotoneaster,Plantae,53375
horseweed,Erigeron canadensis,horseweed,Plantae,76907
western blue-eyed grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
crinite manzanita,Arctostaphylos crustacea crinita,crinite manzanita,Plantae,79586
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
White Horehound,Marrubium vulgare,White Horehound,Plantae,54605
Lolium multiflorum,Lolium multiflorum,Italian Ryegrass,Plantae,68479
Buck's-horn Plantain,Plantago coronopus,Buck's-horn Plantain,Plantae,58960
Buck's-horn Plantain,Plantago coronopus,Buck's-horn Plantain,Plantae,58960
Common Vetch,Vicia sativa,Common Vetch,Plantae,53324
Prostrate Capeweed,Arctotheca prostrata,Prostrate Capeweed,Plantae,75549
field marigold,Calendula arvensis,field marigold,Plantae,59260
Cardo común,Cirsium vulgare,Bull Thistle,Plantae,52989
eggleaf spurge,Euphorbia oblongata,eggleaf spurge,Plantae,77117
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
Белоцветник летний,Leucojum aestivum,Summer snowflake,Plantae,55809
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
California bay,Umbellularia californica,California bay,Plantae,48807
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
greenspot nightshade,Solanum douglasii,greenspot nightshade,Plantae,64105
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
French broom,Genista monspessulana,French broom,Plantae,53403
California poppy,Eschscholzia californica,California poppy,Plantae,48225
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
Common Cat's-Ear,Hypochaeris radicata,Common Cat's-ear,Plantae,53104
common selfheal,Prunella vulgaris lanceolata,lance selfheal,Plantae,60213
Western Blue-eyed Grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
scarlet pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Fragrant Everlasting,Pseudognaphalium beneolens,Fragrant Everlasting,Plantae,64303
miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994
common daisy,Bellis perennis,Lawn daisy,Plantae,55563
common chickweed,Stellaria media,common chickweed,Plantae,53298
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
coastal woodfern,Dryopteris arguta,coastal woodfern,Plantae,52671
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
common Douglas-fir,Pseudotsuga menziesii,Douglas fir,Plantae,48256
Common Cat's-ear,Hypochaeris radicata,Common Cat's-ear,Plantae,53104
western blue-eyed grass,Sisyrinchium bellum,western blue-eyed grass,Plantae,49918
California bay,Umbellularia californica,California bay,Plantae,48807
blueblossom,Ceanothus thyrsiflorus,blueblossom,Plantae,56617
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Common Cat's-ear,Hypochaeris radicata,Common Cat's-ear,Plantae,53104
common daisy,Bellis perennis,Lawn daisy,Plantae,55563
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
French broom,Genista monspessulana,French broom,Plantae,53403
Mexican Fleabane,Erigeron karvinskianus,Mexican Fleabane,Plantae,76923
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
common selfheal,Prunella vulgaris,common selfheal,Plantae,52764
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Yellow-beak False Owl's-clover,Triphysaria versicolor versicolor,Yellow-beak False Owl's-clover,Plantae,60736
California bay,Umbellularia californica,California bay,Plantae,48807
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
field marigold,Calendula arvensis,field marigold,Plantae,59260
field marigold,Calendula arvensis,field marigold,Plantae,59260
geraniums and cranesbills,Geranium,geraniums and cranesbills,Plantae,47701
Common Cat's-ear,Hypochaeris radicata,Common Cat's-ear,Plantae,53104
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
coyote brush,Baccharis pilularis,coyote brush,Plantae,53359
California bay,Umbellularia californica,California bay,Plantae,48807
Spreading Rush,Juncus patens,Spreading Rush,Plantae,52798
beaked hazelnut,Corylus cornuta,beaked hazelnut,Plantae,53374
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Tanoak,Notholithocarpus densiflorus,Tanoak,Plantae,69823
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
California Pitcher Sage,Lepechinia calycina,California Pitcher Sage,Plantae,57114
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
coast oak,Quercus parvula,coast oak,Plantae,78808
orchard grass,Dactylis glomerata,orchard grass,Plantae,52720
California bay,Umbellularia californica,California bay,Plantae,48807
California bay,Umbellularia californica,California bay,Plantae,48807
bristly oxtongue,Helminthotheca echioides,bristly oxtongue,Plantae,61906
Erigeron sumatrensis,Erigeron sumatrensis,tropical horseweed,Plantae,76943
French broom,Genista monspessulana,French broom,Plantae,53403
Cutleaf burnweed,Senecio glomeratus,Cutleaf burnweed,Plantae,60981
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
Common star lily,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
California buckeye,Aesculus californica,California buckeye,Plantae,53348
Persischer Ehrenpreis,Veronica persica,bird's-eye speedwell,Plantae,55666
California bay,Umbellularia californica,California bay,Plantae,48807
California bay,Umbellularia californica,California bay,Plantae,48807
poison hemlock,Conium maculatum,poison hemlock,Plantae,52998
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
California poppy,Eschscholzia californica,California poppy,Plantae,48225
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
milkmaids,Cardamine californica,milkmaids,Plantae,49651
checker lily,Fritillaria affinis,checker lily,Plantae,50618
goldback fern,,goldback fern,Plantae,52676
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
California bay,Umbellularia californica,California bay,Plantae,48807
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
Broad-leafed Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
American trailplant,Adenocaulon bicolor,American trailplant,Plantae,56854
Oxalis smalliana,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
white clover,Trifolium repens,white clover,Plantae,55745
Rauer Schneckenklee,Medicago polymorpha,bur clover,Plantae,53151
Subterranean Clover,Trifolium subterraneum,Subterranean Clover,Plantae,60201
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
wild and domestic radishes,Raphanus raphanistrum sativus,garden radish,Plantae,995125
Common star lily,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
Common star lily,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
scarlet pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
California poppy,Eschscholzia californica,California poppy,Plantae,48225
California bay,Umbellularia californica,California bay,Plantae,48807
California poppy,Eschscholzia californica,California poppy,Plantae,48225
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
Stokrotka pospolita,Bellis perennis,Lawn daisy,Plantae,55563
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
yerba buena,Clinopodium douglasii,yerba buena,Plantae,53203
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Gray's anemone,Anemonoides grayi,Gray's anemone,Plantae,950609
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Cut-leaved crane's-bill,Geranium dissectum,Cut-leaved crane's-bill,Plantae,53075
Common Vetch,Vicia sativa,Common Vetch,Plantae,53324
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
Bermuda Buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
silverleaf cotoneaster,Cotoneaster pannosus,silverleaf cotoneaster,Plantae,53375
coast live oak,Quercus agrifolia,coast live oak,Plantae,47850
scarlet pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
Bermuda Buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Ribwort Plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
hairy woodsorrel,Oxalis pilosa,hairy woodsorrel,Plantae,78300
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Evergreen Huckleberry,Vaccinium ovatum,Evergreen Huckleberry,Plantae,48349
Mediterranean Stork's-bill,Erodium botrys,Mediterranean Stork's-bill,Plantae,57090
Gray's anemone,Anemonoides grayi,Gray's anemone,Plantae,950609
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
Common Cat's-ear,Hypochaeris radicata,Common Cat's-ear,Plantae,53104
Common star lily,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
White Horehound,Marrubium vulgare,White Horehound,Plantae,54605
Petty Spurge,Euphorbia peplus,Petty Spurge,Plantae,57036
goldback fern,,goldback fern,Plantae,52676
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
Sheep's sorrel,Rumex acetosella,Sheep's sorrel,Plantae,53195
white ramping-fumitory,Fumaria capreolata,white ramping-fumitory,Plantae,57852
sweet alyssum,Lobularia maritima,sweet alyssum,Plantae,56992
lemonade berry,Rhus integrifolia,lemonade berry,Plantae,55009
Chasmanthe bicolor,Chasmanthe bicolor,Bicolor Cobra Lily,Plantae,59948
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
French broom,Genista monspessulana,French broom,Plantae,53403
California poppy,Eschscholzia californica,California poppy,Plantae,48225
Common Cat's-ear,Hypochaeris radicata,Common Cat's-ear,Plantae,53104
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Subterranean Clover,Trifolium subterraneum,Subterranean Clover,Plantae,60201
Pink Honeysuckle,Lonicera hispidula,Pink Honeysuckle,Plantae,53416
Pacific poison oak,Toxicodendron diversilobum,Pacific poison oak,Plantae,51080
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178
Red-flowering Currant,Ribes sanguineum,Red-flowering Currant,Plantae,53435
Cut-leaved crane's-bill,Geranium dissectum,Cut-leaved crane's-bill,Plantae,53075
miner's lettuce,Claytonia perfoliata,miner's lettuce,Plantae,52994
Wartleaf Ceanothus,Ceanothus papillosus,Wartleaf Ceanothus,Plantae,64281
greater periwinkle,Vinca major,greater periwinkle,Plantae,53326
